,Unnamed: 0,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,CDC_Name,CDC_Street,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_Name,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,subpgmdesc,InitialInterestRate,TermInMonths,NaicsCode,NaicsDescription,ProjectCounty,ProjectState,BusinessType,LoanStatus,ChargeOffDate,GrossChargeOffAmount,target,Borrgsp,unemploy_bow,unemploy_pro,strdate,SP500,borrCDC,borrthird,borrpro,total,severity,termint,age,CDC_Zip_dm,ThirdPartyDollars_dm,InitialInterestRate_dm,count,diff,target1,target5,age1,age5
9670,11413,6641,1-163 UNIVERSITY MALL,4866,46,84058,179,150,210,46,84109,0,0,1,0.0,12.250094315624494,1994-11-07,5,0,2,0.0,240,971,615,1401,48,1,PIF,,0.0,0,10.752513918197002,3.5,3.5,1994/11/07,6.140035418000615,1,0,1,209000.0,0.0,1,6661,0,1,1,1,4118,0,0,4483,5944
35412,48521,47403,4751 126TH AVE. N.,1194,9,33762,132,137,234,10,33701,0,0,1,0.0,12.53537998978861,2002-03-01,12,2,2,0.0,240,532,546,1074,10,1,PIF,,0.0,0,13.215017852125337,5.6416666666666675,5.6416666666666675,2002/03/01,7.0324300930171,1,0,1,278000.0,0.0,1,3990,0,1,1,1,1447,0,0,1812,3273
44560,70218,1923,14612 BIG BASIN WAY,5805,4,95070,178,221,213,5,94133,2316,1303,50,13.71015115341694,13.554147092530322,2005-02-23,15,2,2,0.0,240,817,556,1237,5,1,PIF,,0.0,0,14.377333736391131,5.399999999999999,5.399999999999999,2005/02/23,7.083220089427159,1,0,1,1670000.0,0.0,1,2900,0,0,1,1,357,0,0,722,2183
44772,70778,395,1601 SICKLERVILLE ROAD,5968,32,8081,186,119,82,32,7024,1977,1538,14,13.652992804936394,13.523821802802145,2005-03-18,15,0,2,0.0,240,1002,160,207,33,1,CHGOFF,2012-03-22,685063.0,1,12.996289366402614,4.45,4.45,2005/03/18,7.082254675627008,1,0,1,1597000.0,0.4289686912961803,1,2561,0,0,1,1,334,0,0,699,2160
44900,71208,30629,10815 NW 33 ST,4069,9,33172,112,275,122,10,33467,194,251,34,13.253393394195161,13.058360179622305,2005-04-05,15,2,2,0.0,240,634,333,373,10,1,PIF,,0.0,0,13.454170606923261,3.683333333333333,3.683333333333333,2005/04/05,7.0752931054695125,1,0,1,1039000.0,0.0,1,2859,0,0,1,1,316,0,0,681,2142
13929,16855,2066,1371 E. 750 N.,4866,46,84057,179,150,210,46,84109,0,0,1,0.0,11.8350162104899,1996-01-17,6,0,2,0.0,240,898,7,1401,48,1,PIF,,0.0,0,10.859325867212783,3.35,3.35,1996/01/17,6.409138152313436,1,0,1,138000.0,0.0,1,6225,0,1,1,1,3682,0,0,4047,5508
13977,16916,11274,2975 JEFFERSON STREET,4428,4,94558,21,101,260,5,94596,0,0,1,0.0,11.15626480664374,1996-01-19,6,0,2,0.0,240,0,0,952,5,1,PIF,,0.0,0,13.779040019611086,7.258333333333335,7.258333333333335,1996/01/19,6.418087600581827,1,0,1,70000.0,0.0,1,6223,0,1,1,1,3680,0,0,4045,5506
16866,20639,51526,P.O. BOX 109,968,35,13619,105,233,5,35,12207,0,0,1,0.0,12.653961664405365,1996-08-13,6,0,2,0.0,240,0,0,687,36,1,PIF,,0.0,0,13.337723758275953,6.258333333333334,6.258333333333334,1996/08/13,6.494056384095689,1,0,1,313000.0,0.0,1,6016,0,1,1,1,3473,0,0,3838,5299
21731,27371,18691,1427 20TH STREET NW,243,50,98001,110,67,218,49,98168,0,0,1,0.0,12.206077645517675,1997-12-15,8,0,2,0.0,240,0,0,729,52,2,PIF,,0.0,0,12.255843281261187,4.775,4.775,1997/12/15,6.871495792665693,1,0,1,200000.0,0.0,1,5527,0,1,1,1,2984,0,0,3349,4810
14824,17998,40572,106 EAST 13200 SOUTH,1685,46,84020,179,150,210,46,84109,0,0,1,0.0,12.53177639527126,1996-03-19,6,0,2,0.0,240,0,0,1213,48,1,PIF,,0.0,0,10.859325867212783,3.35,3.35,1996/03/19,6.481102287613632,1,0,1,277000.0,0.0,1,6163,0,1,1,1,3620,0,0,3985,5446
3963,4552,44259,5150 SHELBYVILLE ROAD,3035,16,46237,212,83,109,16,46204,0,0,1,0.0,11.652696102959752,1992-09-02,2,0,2,0.0,240,0,0,851,17,3,PIF,,0.0,0,11.733788818608494,6.558333333333333,6.558333333333333,1992/09/02,6.037823212340236,1,0,1,115000.0,0.0,1,7457,0,1,1,1,4914,0,0,5279,6740
13792,16683,28812,"14701 MAIN ST, NE,",5878,50,98019,196,307,226,49,99212,0,0,1,0.0,12.180759965737865,1995-12-15,6,0,2,0.0,240,479,574,1296,52,1,PIF,,0.0,0,12.022995603429049,6.050000000000002,6.050000000000002,1995/12/15,6.4254199693518,1,0,1,195000.0,0.0,1,6258,0,1,1,1,3715,0,0,4080,5541
8914,10456,37415,58 GLEN ROYAL DRIVE,5315,5,81004,232,27,190,6,81003,0,0,1,0.0,12.727841176689148,1994-08-12,4,0,2,0.0,240,1019,335,1114,6,1,PIF,,0.0,0,11.557016988749814,4.233333333333333,4.233333333333333,1994/08/12,6.137597460376158,1,0,1,337000.0,0.0,1,6748,0,1,1,1,4205,0,0,4570,6031
15712,19146,554,559 A & B GARCIA AVENUE,5157,4,94565,21,101,260,5,94596,0,0,1,0.0,11.429554725537322,1996-05-17,6,0,2,0.0,240,0,0,334,5,2,PIF,,0.0,0,13.779040019611086,7.258333333333335,7.258333333333335,1996/05/17,6.507143334700018,1,0,1,92000.0,0.0,1,6104,0,1,1,1,3561,0,0,3926,5387
12048,14465,49103,1934 FISKE BLVD. S.,5547,9,32955,112,275,122,10,33467,0,0,1,0.0,12.392556361841777,1995-07-26,5,0,2,0.0,240,910,1016,160,10,1,PIF,,0.0,0,12.756942297278911,5.5166666666666675,5.5166666666666675,1995/07/26,6.332586643854183,1,0,1,241000.0,0.0,1,6400,0,1,1,1,3857,0,0,4222,5683
20766,26021,41519,405 W. THOMAS,5940,13,51601,142,252,113,13,50131,0,0,1,0.0,11.957617696467539,1997-09-02,7,0,2,0.0,240,0,0,1034,14,1,PIF,,0.0,0,11.327970844705165,3.108333333333334,3.108333333333334,1997/09/02,6.833656555862566,1,0,1,156000.0,0.0,1,5631,0,1,1,1,3088,0,0,3453,4914
5142,5902,46389,2900 EAST TROPICANA AVE,3479,34,89121,188,269,125,34,89101,0,0,1,0.0,11.790564777297387,1993-04-12,3,0,2,0.0,240,0,0,293,35,1,PIF,,0.0,0,10.597636730928537,6.849999999999999,6.849999999999999,1993/04/12,6.1078465907220485,1,0,1,132000.0,0.0,1,7235,0,1,1,1,4692,0,0,5057,6518
20309,25396,50784,1197 HAPPY HOLLOW ROAD,2092,2,72701,241,112,134,3,72201,0,0,1,0.0,12.185875040240454,1997-07-15,7,0,2,0.0,120,521,0,1447,3,1,PIF,,0.0,0,11.00764941380094,5.233333333333333,5.233333333333333,1997/07/15,6.8316946431594525,1,0,1,196000.0,0.0,1,5680,0,1,1,1,3137,0,0,3502,4963
5068,5812,50540,345 CALDWELL BLVD.,4425,14,83651,46,45,30,14,83702,0,0,1,0.0,13.413540833877562,1993-03-31,3,0,2,0.0,240,654,584,4,15,3,PIF,,0.0,0,10.047622527944842,5.974999999999999,5.974999999999999,1993/03/31,6.115163411912162,1,0,1,669000.0,0.0,1,7247,0,1,1,1,4704,0,0,5069,6530
46701,76499,34903,CARR 617 KM 3.1 MOROVIS SUR,4250,40,687,84,26,214,40,926,169,1250,46,12.821260987319455,12.491255347155265,2005-10-04,16,0,2,0.0,240,1030,493,935,41,2,CHGOFF,2011-01-12,263527.0,1,11.376844131436567,10.575,10.575,2005/10/04,7.102886088391358,1,1,1,636000.0,0.4143506289308176,1,1926,0,0,1,1,134,0,1,499,1960
116,139,20699,118 SUSSEX STREET,5104,51,53072,294,6,154,50,53716,0,0,1,0.0,11.751950239425476,1990-02-07,0,0,2,0.0,240,0,0,1452,53,2,PIF,,0.0,0,11.51529066567651,4.383333333333334,4.383333333333334,1990/02/07,5.813383984571281,1,0,1,127000.0,0.0,1,8395,0,1,1,1,5852,0,0,6217,7678
37109,51924,38546,325 19 STREET WEST,1637,29,58601,89,213,80,29,58104,0,0,1,0.0,12.742568940017073,2002-09-27,12,2,2,0.0,240,1022,426,1304,30,1,PIF,,0.0,0,9.913932810397666,3.7416666666666663,3.7416666666666663,2002/09/27,6.7194599084405375,1,0,1,342000.0,0.0,1,3780,0,1,1,1,1237,0,0,1602,3063
20523,25673,2189,438 CARR AVENUE #2,2893,1,35209,24,82,29,2,35203,0,0,1,0.0,12.013706813470414,1997-08-05,7,0,2,0.0,240,869,962,687,2,2,PIF,,0.0,0,11.55986820942452,4.975,4.975,1997/08/05,6.860003070700071,1,0,1,165000.0,0.0,1,5659,0,1,1,1,3116,0,0,3481,4942
29901,39138,41393,50 SCHMITT BLVD.,2086,35,11735,152,225,27,35,11714,0,0,1,0.0,13.34230340290474,2000-04-25,10,2,2,0.0,240,231,655,1321,36,1,PIF,,0.0,0,13.639562209067778,4.525,4.525,2000/04/25,7.298742716891532,1,0,1,623000.0,0.0,1,4665,0,1,1,1,2122,0,0,2487,3948
27128,35062,5597,2572 CANDLER ROAD,1562,10,30354,117,179,16,11,30305,0,0,1,0.0,13.768419998647904,1999-06-17,9,0,2,0.0,248,1022,426,505,11,2,PIF,,0.0,0,12.574165703986544,3.916666666666666,3.916666666666666,1999/06/17,7.201096327184023,1,0,1,954000.0,0.0,0,4978,0,1,1,1,2435,0,0,2800,4261
26973,34838,40881,256 HARBOR BLVD.,451,4,94002,178,221,213,5,94133,0,0,1,0.0,11.891368749982085,1999-06-04,9,2,2,0.0,240,1038,379,1225,5,3,PIF,,0.0,0,14.03632660273537,5.233333333333333,5.233333333333333,1999/06/04,7.1919939296561575,1,0,1,146000.0,0.0,1,4991,0,1,1,1,2448,0,0,2813,4274
6394,7384,21902,EAST HIGHWAY 89,3171,46,84741,179,150,210,46,84109,0,0,1,0.0,13.815511557963774,1993-10-18,4,0,2,0.0,240,0,0,1213,48,1,PIF,,0.0,0,10.659424069050834,3.7916666666666665,3.7916666666666665,1993/10/18,6.151561822266384,1,0,1,1000000.0,0.0,1,7046,0,1,1,1,4503,0,0,4868,6329
26211,33752,35868,"1526 W. GLENDALE, SUITE 109",5117,3,85021,262,172,179,4,85012,0,0,1,0.0,12.881567435377427,1999-03-25,9,2,2,0.0,240,0,0,847,4,1,PIF,,0.0,0,11.953406947552596,4.441666666666666,4.441666666666666,1999/03/25,7.163164637137264,1,0,1,393000.0,0.0,1,5062,0,1,1,1,2519,0,0,2884,4345
2619,3026,37043,4665 MALSBARY ROAD,562,36,45242,134,100,50,36,45212,0,0,1,0.0,12.35017731849889,1991-12-03,2,0,2,0.0,240,0,0,583,37,1,PIF,,0.0,0,12.431815216464967,7.358333333333333,7.358333333333333,1991/12/03,5.945315867519325,1,0,1,231000.0,0.0,1,7731,0,1,1,1,5188,0,0,5553,7014
3805,4376,40778,DOWNING INDUSTRIAL PARK,5159,20,1201,185,236,259,20,1880,0,0,1,0.0,12.950390487958611,1992-08-11,2,0,2,0.0,240,0,0,119,21,1,PIF,,0.0,0,12.028355870436902,8.458333333333334,8.458333333333334,1992/08/11,6.040016573401031,1,0,1,421000.0,0.0,1,7479,0,1,1,1,4936,0,0,5301,6762
45662,73398,12219,5822 24 26 STATE ROAD,5010,36,44134,130,66,52,36,44114,1230,282,42,11.951186847493474,11.790564777297387,2005-06-22,15,2,2,0.0,240,1019,335,372,37,1,PIF,,0.0,0,13.051533748682536,5.908333333333331,5.908333333333331,2005/06/22,7.102400589580556,1,1,1,287000.0,0.0,1,2781,0,0,1,1,238,0,0,603,2064
36195,50077,1253,12930 EMMETT,2936,45,77041,138,187,107,45,77027,0,0,1,0.0,11.0186455364637,2002-06-11,12,0,2,0.0,240,546,998,601,47,1,PIF,,0.0,0,13.57631231705259,6.366666666666666,6.366666666666666,2002/06/11,6.922249701477948,1,0,1,61000.0,0.0,1,3888,0,1,1,1,1345,0,0,1710,3171
24424,31138,12981,2401 N.W. BOCA RATON BLVD.,579,9,33431,112,275,122,10,33467,0,0,1,0.0,13.440091026807506,1998-09-17,8,0,2,0.0,240,871,637,1035,10,3,PIF,,0.0,0,12.971692104082372,4.316666666666666,4.316666666666666,1998/09/17,6.927430442272772,1,0,1,687000.0,0.0,1,5251,0,1,1,1,2708,0,0,3073,4534
26588,34293,49057,1390 EAST 3300 SOUTH,5706,46,84106,179,150,210,46,84109,0,0,1,0.0,11.87757552297847,1999-04-29,9,0,2,0.0,240,0,0,1213,48,1,PIF,,0.0,0,11.097767532851165,3.566666666666667,3.566666666666667,1999/04/29,7.203278992245326,1,0,1,144000.0,0.0,1,5027,0,1,1,1,2484,0,0,2849,4310
42817,65465,37847,"20715 E. OCOTILLO RD, SUITE",5361,3,85242,32,178,248,4,85711,2316,1303,50,13.26212705890841,12.936036208848488,2004-07-22,14,2,2,0.0,240,970,622,847,4,1,PIF,,0.0,0,12.232820705216696,5.041666666666665,5.041666666666665,2004/07/22,7.001099860991474,1,0,1,990000.0,0.0,1,3116,0,0,1,1,573,0,0,938,2399
32098,42668,20362,270 ADAMS BLVD.,2086,35,11735,152,225,27,35,11714,0,0,1,0.0,12.955129822091816,2001-02-02,11,0,2,0.0,240,534,285,1321,36,1,PIF,,0.0,0,13.684433636374033,4.833333333333333,4.833333333333333,2001/02/02,7.2082079375171135,1,0,1,423000.0,0.0,1,4382,0,1,1,1,1839,0,0,2204,3665
36224,50137,9962,7700 S. KEDZIE AVENUE,1113,15,60652,247,262,49,15,60605,0,0,1,0.0,12.669809806411454,2002-06-14,12,0,2,0.0,240,691,378,337,16,1,PIF,,0.0,0,13.150104606530054,6.533333333333332,6.533333333333332,2002/06/14,6.915991289742808,1,0,1,318000.0,0.0,1,3885,0,1,1,1,1342,0,0,1707,3168
44498,70088,10361,6587 W OTTAWA PLACE,3625,5,80128,72,245,63,6,80202,2382,1243,54,12.917798665647775,12.594734025146721,2005-02-17,15,3,3,0.0,240,1045,142,687,6,1,CHGOFF,2010-11-23,251550.0,1,12.30096864866609,5.025,5.025,2005/02/17,7.091534106774071,1,0,1,702500.0,0.3580782918149466,1,2105,0,0,1,1,363,0,1,728,2189
13852,16750,15097,1955 CARROLL AVENUE,5729,4,94103,44,80,213,5,94111,0,0,1,0.0,12.909172632187751,1996-01-16,6,0,2,0.0,240,0,0,1225,5,1,PIF,,0.0,0,13.779040019611086,7.258333333333335,7.258333333333335,1996/01/16,6.412540506011995,1,0,1,404000.0,0.0,1,6226,0,1,1,1,3683,0,0,4048,5509
1196,1406,32890,547 MONROE,1629,23,48226,165,84,225,23,48195,0,0,1,0.0,13.527829818844936,1990-11-28,1,0,2,0.0,240,0,0,1455,24,1,PIF,,0.0,0,12.19459806359633,9.199999999999998,9.199999999999998,1990/11/28,5.765034388311416,1,0,1,750000.0,0.0,1,8101,0,1,1,1,5558,0,0,5923,7384
